binary_label	Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type
	CHEMBL1559781		None	598.56	2	-1.20	SID11112009	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@@H]12)c1csc(N)n1.[Na+].[Na+]	AC50						inconclusive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1350723		None	236.73	0	3.47	SID17406754	Nc1cccnc1Sc1ccc(Cl)cc1	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1360221		None	452.34	0	4.21	SID17416220	CC(C)C(=O)Nc1ccc(C(=O)NNC(=O)CCCOc2ccc(Cl)cc2Cl)cc1	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1552847		None	275.30	0	1.29	SID11111096	COc1c2c(nc3ccccc13)O[C@@H]([C@@](C)(O)CO)C2	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1467227		None	287.24	0	2.40	SID14737424	COC(=O)C(O)(c1c(C)[nH]c2ccccc12)C(F)(F)F	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL112	ACETAMINOPHEN	4.0	151.16	0	1.35	SID11114188	CC(=O)Nc1ccc(O)cc1	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1537367		None	442.61	0	3.64	SID14722704	Cc1nc(N2CCN(S(=O)(=O)c3ccccc3)CC2)c2c3c(sc2n1)CC(C)CC3	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1572595		None	291.31	0	1.57	SID17411588	O=C1Nc2ccc([N+](=O)[O-])cc2C1(O)N1CCCCCC1	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL3197636		None	404.88	0	4.17	SID17415941	COc1ccc(/N=C/c2ccc(CNS(=O)(=O)c3ccc(Cl)cc3)o2)cc1	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
	CHEMBL1318518		None	531.47	2	6.41	SID4238210	O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)C1	AC50						inactive						0	CHEMBL1741321	PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active	F	BAO_0000019	assay format	None	None	None	None	None				CHEMBL289	Cytochrome P450 2D6	Homo sapiens	SINGLE PROTEIN	CHEMBL1201862	7	PubChem BioAssays			None		
